sample_codes	samples	Subtype_miRNA	Subtype_mRNA	Subtype_DNAmeth	Subtype_Selected
TCGA.DD.A4NA.01	TCGA-DD-A4NA	4	1	3	LIHC.iCluster:1
TCGA.DD.A4NB.01	TCGA-DD-A4NB	3	3	2	LIHC.iCluster:1
TCGA.DD.A4ND.01	TCGA-DD-A4ND	5	1	2	LIHC.iCluster:2
TCGA.DD.A4NE.01	TCGA-DD-A4NE	1	4	3	LIHC.NA
TCGA.DD.A4NF.01	TCGA-DD-A4NF	1	5	4	LIHC.iCluster:2
TCGA.DD.A4NG.01	TCGA-DD-A4NG	3	5	4	LIHC.NA
TCGA.DD.A4NH.01	TCGA-DD-A4NH	3	1	3	LIHC.iCluster:1
TCGA.DD.A4NI.01	TCGA-DD-A4NI	2	4	4	LIHC.iCluster:2
TCGA.DD.A4NJ.01	TCGA-DD-A4NJ	miRNA.NA	4	2	LIHC.NA
TCGA.DD.A4NK.01	TCGA-DD-A4NK	miRNA.NA	4	4	LIHC.NA
TCGA.DD.A4NL.01	TCGA-DD-A4NL	2	5	2	LIHC.iCluster:1
TCGA.DD.A4NN.01	TCGA-DD-A4NN	4	1	3	LIHC.iCluster:1
TCGA.DD.A4NO.01	TCGA-DD-A4NO	2	3	4	LIHC.iCluster:2
TCGA.DD.A4NP.01	TCGA-DD-A4NP	2	5	2	LIHC.iCluster:2
TCGA.DD.A4NQ.01	TCGA-DD-A4NQ	3	1	2	LIHC.iCluster:3
TCGA.DD.A4NR.01	TCGA-DD-A4NR	3	1	2	LIHC.iCluster:1
TCGA.DD.A4NS.01	TCGA-DD-A4NS	5	3	2	LIHC.iCluster:1
TCGA.DD.A4NV.01	TCGA-DD-A4NV	2	4	4	LIHC.iCluster:2
TCGA.DD.A73A.01	TCGA-DD-A73A	2	4	4	LIHC.iCluster:3
TCGA.DD.A73B.01	TCGA-DD-A73B	2	4	1	LIHC.iCluster:2
TCGA.DD.A73C.01	TCGA-DD-A73C	2	4	2	LIHC.iCluster:2
TCGA.DD.A73D.01	TCGA-DD-A73D	1	5	4	LIHC.iCluster:3
TCGA.DD.A73E.01	TCGA-DD-A73E	1	5	4	LIHC.iCluster:3
TCGA.DD.A73F.01	TCGA-DD-A73F	2	4	2	LIHC.iCluster:3
TCGA.DD.A73G.01	TCGA-DD-A73G	2	1	3	LIHC.iCluster:1
TCGA.DD.AA3A.01	TCGA-DD-AA3A	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAC8.01	TCGA-DD-AAC8	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAC9.01	TCGA-DD-AAC9	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACA.01	TCGA-DD-AACA	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACA.02	TCGA-DD-AACA	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACB.01	TCGA-DD-AACB	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACC.01	TCGA-DD-AACC	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACD.01	TCGA-DD-AACD	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACE.01	TCGA-DD-AACE	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACF.01	TCGA-DD-AACF	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACG.01	TCGA-DD-AACG	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACH.01	TCGA-DD-AACH	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACI.01	TCGA-DD-AACI	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACJ.01	TCGA-DD-AACJ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACK.01	TCGA-DD-AACK	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACL.01	TCGA-DD-AACL	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACN.01	TCGA-DD-AACN	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACO.01	TCGA-DD-AACO	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACP.01	TCGA-DD-AACP	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACQ.01	TCGA-DD-AACQ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACS.01	TCGA-DD-AACS	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACT.01	TCGA-DD-AACT	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACU.01	TCGA-DD-AACU	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACV.01	TCGA-DD-AACV	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACW.01	TCGA-DD-AACW	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACX.01	TCGA-DD-AACX	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACY.01	TCGA-DD-AACY	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AACZ.01	TCGA-DD-AACZ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAD0.01	TCGA-DD-AAD0	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAD1.01	TCGA-DD-AAD1	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAD2.01	TCGA-DD-AAD2	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAD3.01	TCGA-DD-AAD3	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAD5.01	TCGA-DD-AAD5	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAD6.01	TCGA-DD-AAD6	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAD8.01	TCGA-DD-AAD8	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADA.01	TCGA-DD-AADA	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADB.01	TCGA-DD-AADB	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADC.01	TCGA-DD-AADC	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADD.01	TCGA-DD-AADD	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADF.01	TCGA-DD-AADF	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADG.01	TCGA-DD-AADG	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADI.01	TCGA-DD-AADI	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADJ.01	TCGA-DD-AADJ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADK.01	TCGA-DD-AADK	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADL.01	TCGA-DD-AADL	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADM.01	TCGA-DD-AADM	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADN.01	TCGA-DD-AADN	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADO.01	TCGA-DD-AADO	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADP.01	TCGA-DD-AADP	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADQ.01	TCGA-DD-AADQ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADR.01	TCGA-DD-AADR	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADS.01	TCGA-DD-AADS	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADU.01	TCGA-DD-AADU	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADV.01	TCGA-DD-AADV	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADW.01	TCGA-DD-AADW	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADY.01	TCGA-DD-AADY	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE0.01	TCGA-DD-AAE0	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE1.01	TCGA-DD-AAE1	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE2.01	TCGA-DD-AAE2	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE3.01	TCGA-DD-AAE3	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE4.01	TCGA-DD-AAE4	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE6.01	TCGA-DD-AAE6	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE7.01	TCGA-DD-AAE7	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE9.01	TCGA-DD-AAE9	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEA.01	TCGA-DD-AAEA	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEB.01	TCGA-DD-AAEB	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAED.01	TCGA-DD-AAED	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEE.01	TCGA-DD-AAEE	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEG.01	TCGA-DD-AAEG	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEH.01	TCGA-DD-AAEH	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEI.01	TCGA-DD-AAEI	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEK.01	TCGA-DD-AAEK	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVP.01	TCGA-DD-AAVP	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVQ.01	TCGA-DD-AAVQ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVR.01	TCGA-DD-AAVR	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVS.01	TCGA-DD-AAVS	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVU.01	TCGA-DD-AAVU	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVV.01	TCGA-DD-AAVV	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVW.01	TCGA-DD-AAVW	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVX.01	TCGA-DD-AAVX	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVY.01	TCGA-DD-AAVY	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVZ.01	TCGA-DD-AAVZ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
